Country,1995,1996,2000,2004,2008,2015
Afghanistan,,,,,15,11
Albania,,,,25,34,36
Algeria,,,,27,32,36
Angola,,,17,20,19,15
Argentina,52,34,35,25,29,32
Armenia,,,25,31,29,35
Australia,88,86,83,88,87,79
Austria,71,76,77,84,81,76
Azerbaijan,,,15,19,19,29
Bahrain,,,,58,54,51
Bangladesh,,23,,15,21,25
Barbados,,,,73,70,
Belarus,,,41,32,20,32
Belgium,69,69,61,75,73,77
Belize,,,,38,29,
Benin,,,,32,31,37
Bhutan,,,,,52,65
Bolivia,,34,27,22,30,34
Bosnia and Herzegovina,,,,31,32,38
Botswana,,,60,60,58,63
Brazil,27,30,39,39,35,38
Bulgaria,,,35,41,36,41
Burkina Faso,,,30,,35,38
Burundi,,,,,19,21
Cambodia,,,,,18,21
Cameroon,,25,20,21,23,27
Canada,89,90,92,85,87,83
Cape Verde,,,,,51,55
Central African Republic,,,,,20,24
Chad,,,,17,16,22
Chile,79,68,74,74,69,70
China,22,24,31,34,36,37
Colombia,34,27,32,38,38,37
Comoros,,,,,25,26
Congo Republic,,,,23,19,23
Costa Rica,,,54,49,51,55
CÌ«te då«Ivoire,,,27,20,20,32
Croatia,,,37,35,44,51
Cuba,,,,37,43,47
Cyprus,,,,54,64,61
Czech Republic,,54,43,42,52,56
Democratic Republic of the Congo,,,,20,17,22
Denmark,93,93,98,95,93,91
Djibouti,,,,,30,34
Dominica,,,,,60,
Dominican Republic,,,,29,30,33
Ecuador,,32,26,24,20,32
Egypt,,29,31,32,28,36
El Salvador,,,41,42,39,39
Equatorial Guinea,,,,,17,
Eritrea,,,,26,26,18
Estonia,,,57,60,66,70
Ethiopia,,,32,23,26,33
Finland,91,91,100,97,90,90
France,70,70,67,71,69,70
Gabon,,,,33,31,34
Gambia,,,,28,19,28
Georgia,,,,20,39,52
Germany,81,83,76,82,79,81
Ghana,,,35,36,39,47
Greece,40,50,49,43,47,46
Guatemala,,,,22,31,28
Guinea,,,,,16,25
Guinea-Bissau,,,,,19,17
Guyana,,,,,26,29
Haiti,,,,15,14,17
Honduras,,,,23,26,31
Hong Kong,71,70,77,80,81,75
Hungary,41,49,52,48,51,51
Iceland,,,91,95,89,79
India,28,26,28,28,34,38
Indonesia,20,27,17,20,26,36
Iran,,,,29,23,27
Iraq,,,,21,13,16
Ireland,86,85,72,75,77,75
Israel,,77,66,64,60,61
Italy,30,34,46,48,48,44
Jamaica,,,,33,31,41
Japan,67,71,64,69,73,75
Jordan,,49,46,53,51,53
Kazakhstan,,,30,22,22,28
Kenya,,22,21,21,21,25
Kiribati,,,,,31,
Kosovo,,,,,,33
Kuwait,,,,46,43,49
Kyrgyzstan,,,,22,18,28
Laos,,,,,20,25
Latvia,,,34,40,50,55
Lebanon,,,,27,30,28
Lesotho,,,,,32,44
Liberia,,,,,24,37
Libya,,,,25,26,16
Lithuania,,,41,46,46,61
Luxembourg,69,,86,84,83,81
Macau,,,,,54,
Macedonia,,,,27,36,
Madagascar,,,,31,34,28
Malawi,,,41,28,28,31
Malaysia,53,53,48,50,51,50
Maldives,,,,,28,
Mali,,,,32,31,35
Malta,,,,68,58,56
Mauritania,,,,,28,31
Mauritius,,,47,41,55,53
Mexico,32,33,33,36,36,35
Moldova,,,26,23,29,33
Mongolia,,,,30,30,39
Montenegro,,,,,34,44
Morocco,,,47,32,35,36
Mozambique,,,22,28,26,31
Myanmar,,,,17,13,22
Namibia,,,54,41,45,53
Nepal,,,,28,27,27
Netherlands,87,87,89,87,89,87
New Zealand,95,94,94,96,93,88
Nicaragua,,,,27,25,27
Niger,,,,22,28,34
Nigeria,,7,12,16,27,26
North Korea,,,,,,8
Norway,86,89,91,89,79,87
Oman,,,,61,55,45
Pakistan,23,10,,21,25,30
Panama,,,,37,39,39
Papua New Guinea,,,,26,20,25
Paraguay,,,,19,24,27
Peru,,,44,35,36,36
Philippines,28,27,28,26,23,35
Poland,,56,41,35,46,62
Portugal,56,65,64,63,61,63
Qatar,,,,52,65,71
Romania,,,29,29,38,46
Russia,,26,21,28,21,29
Rwanda,,,,,30,54
Sao Tome and Principe,,,,,27,42
Saudi Arabia,,,,34,35,52
Senegal,,,35,30,34,44
Serbia,,,,27,34,40
Seychelles,,,,44,48,55
Sierra Leone,,,,23,19,29
Singapore,93,88,91,93,92,85
Slovakia,,,35,40,50,51
Slovenia,,,55,60,67,60
Somalia,,,,,10,8
South Africa,56,57,50,46,49,44
South Korea,43,50,40,45,56,56
South Sudan,,,,,,15
Spain,44,43,70,71,65,58
Sri Lanka,,,,35,32,37
Sudan,,,,22,16,12
Suriname,,,,43,36,36
Swaziland,,,,,36,
Sweden,88,91,94,92,93,89
Switzerland,88,88,86,91,90,86
Syria,,,,34,21,18
Taiwan,51,50,55,56,57,62
Tajikistan,,,,20,20,26
Tanzania,,,25,28,30,30
Thailand,28,33,32,36,35,38
The FYR of Macedonia,,,,,,42
The United States Of America,78,77,78,75,73,76
Timor-Leste,,,,,22,28
Togo,,,,,27,32
Trinidad and Tobago,,,,42,36,39
Tunisia,,,52,50,44,38
Turkey,41,35,38,32,46,42
Turkmenistan,,,,20,18,18
Uganda,,27,23,26,26,25
Ukraine,,,15,22,25,27
United Arab Emirates,,,,61,59,70
United Kingdom,86,84,87,86,77,81
Uruguay,,,,62,69,74
Uzbekistan,,,24,23,18,19
Venezuela,27,25,27,23,19,17
Vietnam,,,25,26,27,31
Yemen,,,,24,23,18
Yugoslavia,,,13,,,
Zambia,,,34,26,28,38
Zimbabwe,,,30,23,18,21
